code,city,state,country,country_code,count,latitude,longitude,region,pricing_region
IAD,Washington,District of Columbia,United States,US,11,38.94449997,-77.45580292,North America,"United States, Mexico, & Canada"
ORD,Chicago,Illinois,United States,US,19,41.978611,-87.904722,North America,"United States, Mexico, & Canada"
JFK,New York,New York,United States,US,10,40.639801,-73.7789,North America,"United States, Mexico, & Canada"
ATL,Atlanta,Georgia,United States,US,10,33.6367,-84.428101,North America,"United States, Mexico, & Canada"
LAX,Los Angeles,California,United States,US,9,33.942501,-118.407997,North America,"United States, Mexico, & Canada"
MIA,Miami,Florida,United States,US,11,25.79319953918457,-80.29060363769531,North America,"United States, Mexico, & Canada"
DFW,Dallas-Fort Worth,Texas,United States,US,11,32.896801,-97.038002,North America,"United States, Mexico, & Canada"
IAH,Houston,Texas,United States,US,4,29.984399795532227,-95.34140014648438,North America,"United States, Mexico, & Canada"
SFO,San Francisco,California,United States,US,6,37.61899948120117,-122.375,North America,"United States, Mexico, & Canada"
BOS,Boston,Massachusetts,United States,US,5,42.36429977,-71.00520325,North America,"United States, Mexico, & Canada"
DEN,Denver,Colorado,United States,US,3,39.861698150635,-104.672996521,North America,"United States, Mexico, & Canada"
PDX,Portland,Oregon,United States,US,2,45.58869934,-122.5979996,North America,"United States, Mexico, & Canada"
SEA,Seattle,Washington,United States,US,6,47.448889,-122.309444,North America,"United States, Mexico, & Canada"
YTO,Toronto,Canada,Canada,CA,3,43.6772003174,-79.63059997559999,North America,"United States, Mexico, & Canada"
MSP,Minneapolis,Minnesota,United States,US,4,44.882,-93.221802,North America,"United States, Mexico, & Canada"
PHX,Phoenix,Arizona,United States,US,2,33.43429946899414,-112.01200103759766,North America,"United States, Mexico, & Canada"
QRO,Queretaro,Mexico,Mexico,MX,2,20.6173,-100.185997,North America,"United States, Mexico, & Canada"
YUL,Montréal,Canada,Canada,CA,2,45.4706001282,-73.7407989502,North America,"United States, Mexico, & Canada"
PHL,Philadelphia,Pennsylvania,United States,US,1,39.87189865112305,-75.24109649658203,North America,"United States, Mexico, & Canada"
SLC,Salt Lake City,Utah,United States,US,1,40.78839874267578,-111.97799682617188,North America,"United States, Mexico, & Canada"
YVR,Vancouver,Canada,Canada,CA,1,49.193901062,-123.183998108,North America,"United States, Mexico, & Canada"
BNA,Nashville,Tennessee,United States,US,2,36.1245002746582,-86.6781997680664,North America,"United States, Mexico, & Canada"
DTW,Detroit,Michigan,United States,US,2,42.212398529052734,-83.35340118408203,North America,"United States, Mexico, & Canada"
FRA,Frankfurt am Main,,Germany,DE,17,50.033333,8.570556,Europe,"Europe & Israel"
LHR,London,,UK,GB,24,51.4775,-0.461389,Europe,"Europe & Israel"
CDG,Paris,,France,FR,9,49.012798,2.55,Europe,"Europe & Israel"
MXP,Milan,,Italy,IT,9,45.6306,8.72811,Europe,"Europe & Israel"
