code,city,state,country,count,latitude,longitude
IAD,Ashburn,Virginia,United States,6,38.9445,-77.4558029
ATL,Atlanta,Georgia,United States,5,33.6367,-84.428101
BOS,Boston,Massachusetts,United States,3,42.36429977,-71.00520325
ORD,Chicago,Illinois,United States,7,41.978611,-87.904722
DFW,Dallas/Fort Worth,Texas,United States,6,32.896801,-97.038002
DEN,Denver,Colorado,United States,2,39.861698150635,-104.672996521
HWD,Hayward,California,United States,1,37.658889,-122.121667
HIO,Hillsboro,Oregon,United States,2,45.540394,-122.949825
HOU,Houston,Texas,United States,4,29.64539909,-95.27890015
JAX,Jacksonville,Florida,United States,1,30.49410057067871,-81.68789672851562
LAX,Los Angeles,California,United States,5,33.94250107,-118.4079971
MIA,Miami,Florida,United States,3,25.79319953918457,-80.29060363769531
MSP,Minneapolis,Minnesota,United States,1,44.882,-93.221802
YUL,Montreal,Quebec,Canada,1,45.470556,-73.740833
JFK,New York,New York,United States,3,40.63980103,-73.77890015
EWR,Newark,New Jersey,United States,5,40.692501068115234,-74.168701171875
PAO,Palo Alto,California,United States,1,37.461111,-122.115
PHL,Philadelphia,Pennsylvania,United States,1,39.87189865112305,-75.24109649658203
PHX,Phoenix,Arizona,United States,2,33.43429946899414,-112.01200103759766
SLC,Salt Lake City,Utah,United States,1,40.78839874267578,-111.97799682617188
SJC,San Jose,California,United States,2,37.362598,-121.929001
SEA,Seattle,Washington,United States,4,47.448889,-122.309444
IND,South Bend,Indiana,United States,1,39.7173004,-86.2944031
YTO,Toronto,Ontario,Canada,2,43.6772003174,-79.63059997559999
AMS,Amsterdam,,The Netherlands,2,52.308601,4.76389
TXL,Berlin,,Germany,2,52.559722,13.287778
CPH,Copenhagen,,Denmark,1,55.617900848389,12.656000137329
DUB,Dublin,,Ireland,1,53.421299,-6.27007
FRA,Frankfurt am Main,,Germany,8,50.033333,8.570556
HEL,Helsinki,,Finland,1,60.317199707031,24.963300704956
LHR,London,,England,9,51.4775,-0.461389
MAD,Madrid,,Spain,2,40.471926,-3.56264
MAN,Manchester,,England,2,53.35369873046875,-2.2749500274658203
MRS,Marseille,,France,1,43.439271922,5.22142410278
MXP,Milan,,Italy,1,45.6306,8.72811
MUC,Munich,,Germany,2,48.353802,11.7861
OSL,Oslo,,Norway,1,60.193901062012,11.100399971008
PMO,Palermo,,Italy,1,38.175999,13.091
CDG,Paris,,France,5,49.012798,2.55
PRG,Prague,,Czech Republic,1,50.1008,14.26
ARN,Stockholm,,Sweden,3,59.651901245117,17.918600082397
VIE,Vienna,,Austria,1,48.110298156738,16.569700241089
WMI,Warsaw,,Poland,1,52.451099,20.6518
ZRH,Zurich,,Switzerland,2,47.464699,8.54917
BLR,Bangalore,,India,3,13.1979,77.706299
MAA,Chennai,,India,2,12.990005493164062,80.16929626464844
HKG,Hong Kong,,China,3,22.308901,113.915001
HYD,Hyderabad,,India,4,17.2313175201,78.4298553467
KUL,Kuala Lumpur,,Malaysia,1,2.745579957962,101.70999908447
BOM,Mumbai,,India,2,19.0886993408,72.8678970337
MNL,Manila,,Philippines,1,14.5086,121.019997
DEL,New Delhi,,India,5,28.5665,77.103104
KIX,Osaka,,Japan,1,34.42729949951172,135.24400329589844
ICN,Seoul,,South Korea,4,37.46910095214844,126.45099639892578
SIN,Singapore,,Singapore,3,1.35019,103.994003
TPE,Taipei,,Taiwan,3,25.0777,121.233002
NRT,Tokyo,,Japan,12,35.7647018433,140.386001587
MEL,Melbourne,,Australia,1,-37.673302,144.843002
PER,Perth,,Australia,1,-31.94029998779297,115.96700286865234
SYD,Sydney,,Australia,2,-33.94609832763672,151.177001953125
GRU,Sao Paulo,,Brazil,2,-23.435556,-46.473056
GIG,Rio de Janeiro,,Brazil,3,-22.8099994659,-43.2505569458
DXB,Dubai,,United Arab Emirates,1,25.2527999878,55.3643989563
FJR,Fujairah,,United Arab Emirates,1,25.112222,56.324167
TLV,Tel Aviv,,Israel,1,32.01139831542969,34.88669967651367
JNB,Johannesburg,,South Africa,1,-26.1392,28.246
CPT,Cape Town,,South Africa,1,-33.9648017883,18.6016998291
PEK,Beijing,,China,1,40.080101013183594,116.58499908447266
PVG,Shanghai,,China,1,31.143400192260742,121.80500030517578
ZHY,Zhongwei,,China,1,37.572778,105.154444
